num_regions,num_heights,seed,endurance,method,objective,solve_time,mip_gap,first_incumbent_obj,first_incumbent_time,heuristic_obj,heuristic_time,num_ops,status,n_vars,n_constrs
1,1,0,300,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,300,rings,162.1280,0.07,0.0000,173.4367,0.01,,0.02,1,OPTIMAL,215,372
1,1,0,300,rings_ws,162.1280,0.06,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,0,450,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,450,rings,162.1280,0.06,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,215,372
1,1,0,450,rings_ws,162.1280,0.07,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,0,600,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,600,rings,162.1280,0.06,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,215,372
1,1,0,600,rings_ws,162.1280,0.07,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,0,900,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,900,rings,162.1280,0.06,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,215,372
1,1,0,900,rings_ws,162.1280,0.13,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,0,1500,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,1500,rings,162.1280,0.06,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,215,372
1,1,0,1500,rings_ws,162.1280,0.07,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,0,2400,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,2400,rings,162.1280,0.06,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,215,372
1,1,0,2400,rings_ws,162.1280,0.07,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,215,372
1,1,1,300,heuristic,136.6622,0.02,,,,,0.02,1,HEURISTIC,,
1,1,1,300,rings,135.5122,0.06,0.0000,149.4270,0.02,,0.02,1,OPTIMAL,215,372
1,1,1,300,rings_ws,135.5122,0.08,0.0000,136.6622,0.00,136.6622,0.02,1,OPTIMAL,215,372
1,1,1,450,heuristic,136.6622,0.02,,,,,0.02,1,HEURISTIC,,
1,1,1,450,rings,135.5122,0.08,0.0000,158.8887,0.00,,0.02,1,OPTIMAL,215,372
1,1,1,450,rings_ws,135.5122,0.06,0.0000,136.6622,0.00,136.6622,0.02,1,OPTIMAL,215,372
1,1,1,600,heuristic,136.6622,0.02,,,,,0.02,1,HEURISTIC,,
1,1,1,600,rings,135.5122,0.08,0.0000,158.8887,0.00,,0.02,1,OPTIMAL,215,372
1,1,1,600,rings_ws,135.5122,0.05,0.0000,136.6622,0.00,136.6622,0.02,1,OPTIMAL,215,372
