num_regions,num_heights,seed,endurance,method,objective,solve_time,mip_gap,first_incumbent_obj,first_incumbent_time,heuristic_obj,heuristic_time,num_ops,status,n_vars,n_constrs
1,1,0,300,heuristic,162.2926,0.01,,,,,0.01,1,HEURISTIC,,
1,1,0,300,edges,162.1280,0.03,0.0000,173.4367,0.01,,0.01,1,OPTIMAL,212,374
1,1,0,300,edges_ws,162.1280,0.04,0.0000,162.2926,0.00,162.2926,0.01,1,OPTIMAL,212,374
1,1,0,450,heuristic,162.2926,0.01,,,,,0.01,1,HEURISTIC,,
1,1,0,450,edges,162.1280,0.04,0.0000,183.5364,0.00,,0.01,1,OPTIMAL,212,374
1,1,0,450,edges_ws,162.1280,0.04,0.0000,162.2926,0.00,162.2926,0.01,1,OPTIMAL,212,374
1,1,0,600,heuristic,162.2926,0.01,,,,,0.01,1,HEURISTIC,,
1,1,0,600,edges,162.1280,0.04,0.0000,183.5364,0.01,,0.01,1,OPTIMAL,212,374
1,1,0,600,edges_ws,162.1280,0.04,0.0000,162.2926,0.00,162.2926,0.01,1,OPTIMAL,212,374
1,1,0,900,heuristic,162.2926,0.00,,,,,0.00,1,HEURISTIC,,
1,1,0,900,edges,162.1280,0.05,0.0000,183.5364,0.02,,0.00,1,OPTIMAL,212,374
1,1,0,900,edges_ws,162.1280,0.04,0.0000,162.2926,0.00,162.2926,0.00,1,OPTIMAL,212,374
1,1,0,1500,heuristic,162.2926,0.01,,,,,0.01,1,HEURISTIC,,
1,1,0,1500,edges,162.1280,0.04,0.0000,183.5364,0.01,,0.01,1,OPTIMAL,212,374
1,1,0,1500,edges_ws,162.1280,0.02,0.0000,162.2926,0.00,162.2926,0.01,1,OPTIMAL,212,374
1,1,0,2400,heuristic,162.2926,0.02,,,,,0.02,1,HEURISTIC,,
1,1,0,2400,edges,162.1280,0.05,0.0000,183.5364,0.00,,0.02,1,OPTIMAL,212,374
1,1,0,2400,edges_ws,162.1280,0.04,0.0000,162.2926,0.00,162.2926,0.02,1,OPTIMAL,212,374
1,1,1,300,heuristic,136.6622,0.01,,,,,0.01,1,HEURISTIC,,
1,1,1,300,edges,135.5122,0.04,0.0000,147.8809,0.01,,0.01,1,OPTIMAL,212,374
1,1,1,300,edges_ws,135.5122,0.03,0.0000,136.6622,0.00,136.6622,0.01,1,OPTIMAL,212,374
1,1,1,450,heuristic,136.6622,0.01,,,,,0.01,1,HEURISTIC,,
1,1,1,450,edges,135.5122,0.05,0.0000,158.8887,0.00,,0.01,1,OPTIMAL,212,374
1,1,1,450,edges_ws,135.5122,0.04,0.0000,136.6622,0.00,136.6622,0.01,1,OPTIMAL,212,374
1,1,1,600,heuristic,136.6622,0.01,,,,,0.01,1,HEURISTIC,,
1,1,1,600,edges,135.5122,0.05,0.0000,158.8887,0.00,,0.01,1,OPTIMAL,212,374
1,1,1,600,edges_ws,135.5122,0.04,0.0000,136.6622,0.00,136.6622,0.01,1,OPTIMAL,212,374
1,1,1,900,heuristic,136.6622,0.01,,,,,0.01,1,HEURISTIC,,
1,1,1,900,edges,135.5122,0.06,0.0000,158.8887,0.00,,0.01,1,OPTIMAL,212,374
1,1,1,900,edges_ws,135.5122,0.04,0.0000,136.6622,0.01,136.6622,0.01,1,OPTIMAL,212,374
1,1,1,1500,heuristic,136.6622,0.00,,,,,0.00,1,HEURISTIC,,
1,1,1,1500,edges,135.5122,0.05,0.0000,158.8887,0.00,,0.00,1,OPTIMAL,212,374
1,1,1,1500,edges_ws,135.5122,0.04,0.0000,136.6622,0.00,136.6622,0.00,1,OPTIMAL,212,374
1,1,1,2400,heuristic,136.6622,0.00,,,,,0.00,1,HEURISTIC,,
1,1,1,2400,edges,135.5122,0.05,0.0000,158.8887,0.00,,0.00,1,OPTIMAL,212,374
1,1,1,2400,edges_ws,135.5122,0.05,0.0000,136.6622,0.00,136.6622,0.00,1,OPTIMAL,212,374
1,1,2,300,heuristic,193.1788,0.00,,,,,0.00,1,HEURISTIC,,
1,1,2,300,edges,193.0163,0.04,0.0000,196.1479,0.00,,0.00,1,OPTIMAL,212,374
1,1,2,300,edges_ws,193.0163,0.03,0.0000,193.1788,0.00,193.1788,0.00,1,OPTIMAL,212,374
1,1,2,450,heuristic,193.1788,0.01,,,,,0.01,1,HEURISTIC,,
1,1,2,450,edges,193.0163,0.03,0.0000,194.2715,0.01,,0.01,1,OPTIMAL,212,374
1,1,2,450,edges_ws,193.0163,0.03,0.0000,193.1788,0.00,193.1788,0.01,1,OPTIMAL,212,374
1,1,2,600,heuristic,193.1788,0.00,,,,,0.00,1,HEURISTIC,,
1,1,2,600,edges,193.0163,0.02,0.0000,194.2715,0.00,,0.00,1,OPTIMAL,212,374
1,1,2,600,edges_ws,193.0163,0.03,0.0000,193.1788,0.00,193.1788,0.00,1,OPTIMAL,212,374
1,1,2,900,heuristic,193.1788,0.00,,,,,0.00,1,HEURISTIC,,
1,1,2,900,edges,193.0163,0.03,0.0000,194.2715,0.00,,0.00,1,OPTIMAL,212,374
1,1,2,900,edges_ws,193.0163,0.03,0.0000,193.1788,0.00,193.1788,0.00,1,OPTIMAL,212,374
1,1,2,1500,heuristic,193.1788,0.01,,,,,0.01,1,HEURISTIC,,
1,1,2,1500,edges,193.0163,0.03,0.0000,194.2715,0.00,,0.01,1,OPTIMAL,212,374
